Name,METADATA Attribute,Data Type,Key Type,Integration Object Name,Required,Lookup,Description
"Location ID","LocationId","Number","Surrogate ID","Location","Yes","","The surrogate ID for the location record. Only available when updating existing locations."
"Location Code","LocationCode","String","User Key","","For new records","","A code to uniquely reference the location within the set."
"Set Code","SetCode","String","User Key","","No","","The code of the set to which this location belongs. This attribute is mandatory for new locations."
"Effective End Date","EffectiveEndDate","Date","","","No","","If you are supplying date-effective history, the last day of the date-effective changes. If left blank, this value is the end of time by default."
"Effective Start Date","EffectiveStartDate","Date","","","Yes","","The start date of the location or of the update to the location if you are supplying date-effective history."
"Action Reason Code","ActionReasonCode","String","","","No","","The code for the reason why this location is created or updated."
"Active Status","ActiveStatus","String","","","For new records","ACTIVE_INACTIVE","Specifies whether the location is active."
"Additional Address Attribute 1","AddlAddressAttribute1","String","","","No","","Additional address attribute, used by localizations."
"Additional Address Attribute 2","AddlAddressAttribute2","String","","","No","","Additional address attribute, used by localizations."
"Additional Address Attribute 3","AddlAddressAttribute3","String","","","No","","Additional address attribute, used by localizations."
"Additional Address Attribute 4","AddlAddressAttribute4","String","","","No","","Additional address attribute, used by localizations."
"Additional Address Attribute 5","AddlAddressAttribute5","String","","","No","","Additional address attribute, used by localizations."
"Address Line 1","AddressLine1","String","","","No","","The first line of the location address."
"Address Line 2","AddressLine2","String","","","No","","The second line of the location address."
"Address Line 3","AddressLine3","String","","","No","","The third line of the location address."
"Address Line 4","AddressLine4","String","","","No","","The fourth line of the location address."
"Annual Working Duration Units","AnnualWorkingDurationUnits","String","","","No","ORA_PER_ANN_WORK_DURATION_UOM","The unit of measure in hours, days, weeks, or months for the standard annual working duration."
"Bill-to Site","BillToSiteFlag","String","","","No","","Indicates the location is a bill to site."
"Building","Building","String","","","No","","The building name of the address."
"Country","Country","String","","","For new records","","The country for the location address."
"Deliver-to Site","DeliverToSiteFlag","String","","","No","","Indicates the location is a deliver to site."
"Description","Description","String","","","No","","A description for the location in the language of the user loading your new locations. This value can be translated for other enabled languages if you supply a LocationTranslation.dat file."
"Designated Receiver ID","DesignatedReceiverId","Number","Foreign Object Reference","Person","No","","A unique reference to the person designated as the receiver for this location."
"Designated Receiver Person Number","DesignatedPersonNumber","String","User Key","","No","","The person number for the person designated as the receiver for this location."
"E-Mail","EmailAddress","String","","","No","","The e-mail address for the location."
"Employee Location","EmployeeLocationFlag","String","","","No","YES_NO","Indicates the location is an employee location."
"Fax - Area Code","FaxAreaCode","String","","","No","","The area code of the fax number for this location."
"Fax - Country Code","FaxCountryCode","String","","","No","","The country code of the fax number for this location."
"Fax - Extension","FaxExtension","String","","","No","","The extension for the fax number for this location."
"Fax - Local Number","FaxSubscriberNumber","String","","","No","","The local number of the fax number for this location."
"Floor Number","FloorNumber","String","","","No","","The floor number of the address."
"Geographic Hierarchy Node Code","GeoHierarchyNodeCode","String","User Key","","No","","The code of the geography tree node for this location."
"Geographic Hierarchy Node ID","GeoHierarchyNodeId","String","Foreign Object Reference","","No","","The surrogate ID of the geography tree node for this location."
"Image URL","LocationImageURL","String","","","No","","The web address for the location image."
"Inventory Organization","InventoryOrganizationName","String","User Key","","No","","The name of the inventory organization for this location."
"Inventory Organization ID","InventoryOrganizationId","Number","Foreign Object Reference","Organization","No","","A unique reference to the inventory organization for this location."
"Latitude","Latitude","Number","","","No","","Distance between the equator and an address located to its north or south, expressed in degrees and minutes."
"Location Name","LocationName","String","","","For new records","","The name for the location. Supply the location name in the language of the user loading your new locations. This value can be translated for other enabled languages if you supply a LocationTranslation.dat file."
"Long Postal Code","LongPostalCode","String","","","No","","Long postal codes are used in some countries in addition to more well-known short postal codes."
"Longitude","Longitude","Number","","","No","","Distance between the prime meridian and an address located to its east or west, expressed in degrees and minutes."
"Main Phone - Area Code","MainphoneAreaCode","String","","","No","","The area code for the main phone number for this location."
"Main Phone - Country Code","MainphoneCountryCode","String","","","No","","The country code for the main phone number for this location."
"Main Phone - Extension","MainphoneExtension","String","","","No","","The extension of the main phone number for this location."
"Main Phone - Local Number","MainphoneSubscriberNumber","String","","","No","","The local number of the main phone number for this location."
"Office Site","OfficeSiteFlag","String","","","No","","Indicates the location is an office site."
"Official Language","OfficialLanguageCode","String","Foreign Object Reference","","No","","The code of the location's official language."
"Other Phone - Area Code","OtherphoneAreaCode","String","","","No","","The area code of the other phone number for this location."
"Other Phone - Country Code","OtherphoneCountryCode","String","","","No","","The country code of the other phone number for this location."
"Other Phone - Extension","OtherphoneExtension","String","","","No","","The extension for the other phone number for this location."
"Other Phone - Local Number","OtherphoneSubscriberNumber","String","","","No","","The local number of the other phone number for this location."
"Postal Code","PostalCode","String","","","No","","The postal code of the location address. This value may be mandatory depending on the country specified."
"Provider","Provider","String","","","No","","Company that has validated an address."
"Receivable Materials","ReceivableMaterials","String","Foreign Object Reference","","No","","Lists materials that can be received at the location."
"Receiving Site","ReceivingSiteFlag","String","","","No","","Indicates if the location is a receiving site."
"Region 1","Region1","String","","","No","","The primary region in which the address is located. This value may be mandatory depending on the country specified."
"Region 2","Region2","String","","","No","","The subregion in which the address is located."
"Region 3","Region3","String","","","No","","The subregion within Region 2, in which the address is located."
"Set ID","SetId","Number","Foreign Object Reference","","For new records","","The surrogate ID of the set this location belongs to."
"Ship-to Location Code","ShipToLocationCode","String","User Key","","No","","The code for the ship to location."
"Ship-to Location ID","ShipToLocationId","Number","Foreign Object Reference","Location","No","","A unique reference to the ship to location."
"Ship-to Location Set Code","ShipToLocationSetCode","String","User Key","","No","","The set code for the ship to location."
"Ship-to Site","ShipToSiteFlag","String","","","No","","Indicates the location is a ship to site."
"Standard Annual Working Duration","StandardAnnualWorkingDuration","Number","","","No","","The standard annual working duration for the location."
"Standard Working Hours","StandardWorkingHours","Number","","","No","","Number of standard working hours"
"Standard Working Hours Frequency","StandardWorkingFrequency","String","","","No","FREQUENCY","Frequency for the standard working hours"
"Time-zone Name","TimezoneName","String","User Key","","No","","Specifies the standard time-zone name under which the address falls."
"Town Or City","TownOrCity","String","","","No","","The town or city of the location address. This value may be mandatory depending on the country specified."
"Validation Status Code","ValidationStatusCode","String","","","No","","Level of accuracy of an address as determined by an address provider."
"Source System ID","SourceSystemId","String","Source Key","","No","","A value to uniquely identify this record. This must be unique for the source system owner and business object component."
"Source System Owner","SourceSystemOwner","String","Source Key","","No","","The name of the source system used to generate the source system ID."
"Globally Unique ID","GUID","String","Globally Unique ID","","No","","The globally unique ID. Only available to reference existing records, it cannot be supplied for new records."
"Reference Context","SourceRefTableName","String","","","No","","The context for the user-defined references provided for this component. Don't supply values for this attribute, instead specify the context against this attribute in the METADATA line using the format: SourceRefTableName= context. For example: SourceRefTableName=Store Information."
"Reference 1","SourceRef001","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 2","SourceRef002","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 3","SourceRef003","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 4","SourceRef004","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 5","SourceRef005","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 6","SourceRef006","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 7","SourceRef007","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 8","SourceRef008","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 9","SourceRef009","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 10","SourceRef010","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
