Name,METADATA Attribute,Data Type,Key Type,Integration Object Name,Required,Lookup,Description
"Location Extra Information ID","LocationExtraInfoId","Number","Surrogate ID","LocationExtraInfoEFF","Yes","","The surrogate ID for the location extra information record. Only available when updating existing records."
"LEI Information Category","LeiInformationCategory","String","User Key","","No","","The category code for the extensible flexfield data."
"Location Code","LocationCode","String","User Key","","No","","The code of the location this extensible flexfield data is for."
"Sequence Number","SequenceNumber","Number","User Key","","No","","The sequence number is only relevant for multirow contexts and identifies the order of the rows. Even for multirow contexts it is optional, if it is not supplied it is automatically generated. However, if you do not supply a source key when creating new extensible flexfield data the SequenceNumber becomes mandatory as it is part of the user key."
"Set Code","SetCode","String","User Key","","No","","The set code for the location this extensible flexfield data is for."
"Location ID","LocationId","Number","Parent Surrogate ID","Location","Yes","","A unique reference to the location this extensible flexfield data is for."
"Effective End Date","EffectiveEndDate","Date","","","No","","If you are supplying date-effective history, the last day of the date-effective changes. If left blank, this value is the end of time by default."
"Effective Start Date","EffectiveStartDate","Date","","","Yes","","The start date of the extensible flexfield data."
"Information Type","InformationType","String","","","For new records","","Context code for the extensible flexfield."
"Legislation Code","LegislationCode","String","","","No","","The code for the legislation."
"Set ID","SetId","String","Foreign Object Reference","","No","","The surrogate ID of the set the location belongs to."
"Source System ID","SourceSystemId","String","Source Key","","No","","A value to uniquely identify this record. This must be unique for the source system owner and business object component."
"Source System Owner","SourceSystemOwner","String","Source Key","","No","","The name of the source system used to generate the source system ID."
"Globally Unique ID","GUID","String","Globally Unique ID","","No","","The globally unique ID. Only available to reference existing records, it cannot be supplied for new records."
"Reference Context","SourceRefTableName","String","","","No","","The context for the user-defined references provided for this component. Don't supply values for this attribute, instead specify the context against this attribute in the METADATA line using the format: SourceRefTableName= context. For example: SourceRefTableName=Store Information."
"Reference 1","SourceRef001","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 2","SourceRef002","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 3","SourceRef003","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 4","SourceRef004","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 5","SourceRef005","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 6","SourceRef006","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 7","SourceRef007","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 8","SourceRef008","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 9","SourceRef009","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 10","SourceRef010","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
