Name,METADATA Attribute,Data Type,Key Type,Integration Object Name,Required,Lookup,Description
"Location Address Usage ID","LocAddressUsageId","Number","Surrogate ID","LocationAddressUsage","Yes","","The surrogate ID for the location address record. Only available when updating existing location addresses."
"Location Code","LocationCode","String","User Key","","No","","The code of the location for this address."
"Location Set Code","LocationSetCode","String","User Key","","No","","The code of the set to which the location belongs."
"Location ID","LocationId","Number","Parent Surrogate ID","Location","Yes","","A unique reference to the location for which this is the address."
"Effective End Date","EffectiveEndDate","Date","","","No","","If you are supplying date-effective history, the last day of the date-effective changes. If left blank, this value is the end of time by default."
"Effective Start Date","EffectiveStartDate","Date","","","Yes","","The start date of the location address."
"Address Line 1","AddressLine1","String","","","No","","The first line of the location address."
"Address Line 2","AddressLine2","String","","","No","","The second line of the location address."
"Address Line 3","AddressLine3","String","","","No","","The third line of the location address."
"Address Line 4","AddressLine4","String","","","No","","The fourth line of the location address."
"Address Usage Type","AddressUsageType","String","Foreign Object Reference","","For new records","","The type of address usage for the location. In the user interface this value is available only when editing an existing location and adding another address."
"Building","Building","String","","","No","","The building name of the address."
"Country","Country","String","","","For new records","","The country for the location address."
"Floor Number","FloorNumber","String","","","No","","The floor number of the address."
"Latitude","Latitude","Number","","","No","","Distance between the equator and an address located to its north or south, expressed in degrees and minutes."
"Long Postal code","LongPostalCode","String","","","No","","Long postal codes are used in some countries in addition to more well-known short postal codes."
"Longitude","Longitude","Number","","","No","","Distance between the prime meridian and an address located to its east or west, expressed in degrees and minutes."
"Postal Code","PostalCode","String","","","No","","The postal code of the location address. This value may be mandatory depending upon the country."
"Provider","Provider","String","","","No","","Company that has validated an address."
"Region 1","Region1","String","","","No","","The primary region in which the address is located. This value may be mandatory depending upon the country."
"Region 2","Region2","String","","","No","","The subregion in which the address is located."
"Region 3","Region3","String","","","No","","The subregion within Region 2, in which the address is located."
"Time-zone Code","TimezoneCode","String","","","No","","Specifies the standard time-zone boundary under which the address falls."
"Town Or City","TownOrCity","String","","","No","","The town or city of the location address. This value may be mandatory depending upon the country."
"Validation Status Code","ValidationStatusCode","String","","","No","","Level of accuracy of an address as determined by an address provider."
"Source System ID","SourceSystemId","String","Source Key","","No","","A value to uniquely identify this record. This must be unique for the source system owner and business object component."
"Source System Owner","SourceSystemOwner","String","Source Key","","No","","The name of the source system used to generate the source system ID."
"Globally Unique ID","GUID","String","Globally Unique ID","","No","","The globally unique ID. Only available to reference existing records, it cannot be supplied for new records."
"Reference Context","SourceRefTableName","String","","","No","","The context for the user-defined references provided for this component. Don't supply values for this attribute, instead specify the context against this attribute in the METADATA line using the format: SourceRefTableName= context. For example: SourceRefTableName=Store Information."
"Reference 1","SourceRef001","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 2","SourceRef002","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 3","SourceRef003","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 4","SourceRef004","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 5","SourceRef005","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 6","SourceRef006","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 7","SourceRef007","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 8","SourceRef008","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 9","SourceRef009","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 10","SourceRef010","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
