Name,METADATA Attribute,Required,Value Set Code,Category,Context,Description
"Stairs","_Stairs(PER_LOCATION_INFORMATION_EFF=JExESPropertyLocation)","No","JG_CHARACTER_L2","HcmLocationsCategory","Property Location for Spain",""
"Stair Number","_Stair__Num(PER_LOCATION_INFORMATION_EFF=JE_ES_RENTED_LOCATION)","No","PER_CHAR_L2","HcmLocationsCategory","Spanish Property Rentals","The Stair Number"
"Rates Reference","_Rates__Reference(PER_LOCATION_INFORMATION_EFF=JE_ES_PRL_YES)","No","PER_CHAR_L25","HcmLocationsCategory","Spanish Property Rented","The Rates Reference"
"Rates Reference","_Rates__Reference(PER_LOCATION_INFORMATION_EFF=JE_ES_RENTED_LOCATION)","No","PER_CHAR_L25","HcmLocationsCategory","Spanish Property Rentals","The Rates Reference"
"Province","_Province(PER_LOCATION_INFORMATION_EFF=JExESPropertyLocation)","No","JEES_PROVINCES","HcmLocationsCategory","Property Location for Spain",""
"Province","_Province_Display(PER_LOCATION_INFORMATION_EFF=JExESPropertyLocation)","No","JEES_PROVINCES","HcmLocationsCategory","Property Location for Spain",""
"Property Rental","_Property__Rental(PER_LOCATION_INFORMATION_EFF=JE_ES_PRL_NO)","No","PER_YES_NO","HcmLocationsCategory","Spanish Property Not Rented","The Property Rental"
"Property Rental","_Property__Rental(PER_LOCATION_INFORMATION_EFF=JE_ES_PRL_YES)","No","PER_YES_NO","HcmLocationsCategory","Spanish Property Rented","The Property Rental"
"Property Rental","_Property__Rental(PER_LOCATION_INFORMATION_EFF=JE_ES_RENTED_LOCATION)","No","PER_YES_NO","HcmLocationsCategory","Spanish Property Rentals","The Property Rental"
"Property Rental","_Property__Rental_Display(PER_LOCATION_INFORMATION_EFF=JE_ES_PRL_NO)","No","PER_YES_NO","HcmLocationsCategory","Spanish Property Not Rented","The Property Rental"
"Property Rental","_Property__Rental_Display(PER_LOCATION_INFORMATION_EFF=JE_ES_PRL_YES)","No","PER_YES_NO","HcmLocationsCategory","Spanish Property Rented","The Property Rental"
"Property Rental","_Property__Rental_Display(PER_LOCATION_INFORMATION_EFF=JE_ES_RENTED_LOCATION)","No","PER_YES_NO","HcmLocationsCategory","Spanish Property Rentals","The Property Rental"
"Postal Code","_PostalCode(PER_LOCATION_INFORMATION_EFF=JExESPropertyLocation)","No","JG_CHAR_NUMERIC_L5","HcmLocationsCategory","Property Location for Spain",""
"Portal","_Portal(PER_LOCATION_INFORMATION_EFF=JExESPropertyLocation)","No","JG_CHARACTER_L3","HcmLocationsCategory","Property Location for Spain","An alphanumeric value that identifies the entrance to an address when there is more than one entrance."
"Number Type","_NumberType(PER_LOCATION_INFORMATION_EFF=JExESPropertyLocation)","No","JEES_NUMBER_TYPE","HcmLocationsCategory","Property Location for Spain","Identifies the street type as specified by the Spanish National Statistics Institute. Possible values are Street, Avenue, Road, Lane, Plaza, and so on."
"Number Type","_NumberType_Display(PER_LOCATION_INFORMATION_EFF=JExESPropertyLocation)","No","JEES_NUMBER_TYPE","HcmLocationsCategory","Property Location for Spain","Identifies the street type as specified by the Spanish National Statistics Institute. Possible values are Street, Avenue, Road, Lane, Plaza, and so on."
