Name,METADATA Attribute,Required,Value Set Code,Category,Context,Description
"Worksite Description","_MWS_REPORTING_DESC(PER_LOCATION_LEG_EFF=HRX_US_MWS_INFORMATION)","No","HRC_CHAR_35","HcmLocationsLegislativeCategory","United States Multiple Worksite Reporting Information","Captures the description of the worksite or location."
"Workers Compensation Payroll Statutory Unit","oraHrxCaWcLocPsu(PER_LOCATION_LEG_EFF=ORA_HRX_CA_WC_LOC)","Yes","ORA_HRX_CA_PM_LOC_PSU","HcmLocationsLegislativeCategory","Canada Workers Compensation Location Information","Captures the Workers Compensation Payroll Statutory Unit Information at Location Level."
"Workers Compensation Payroll Statutory Unit","oraHrxCaWcLocPsu_Display(PER_LOCATION_LEG_EFF=ORA_HRX_CA_WC_LOC)","Yes","ORA_HRX_CA_PM_LOC_PSU","HcmLocationsLegislativeCategory","Canada Workers Compensation Location Information","Captures the Workers Compensation Payroll Statutory Unit Information at Location Level."
"Workers Compensation Classification Unit Override","oraHrxCaWcLocClUnit(PER_LOCATION_LEG_EFF=ORA_HRX_CA_WC_LOC)","Yes","ORA_HRX_CA_WC_LOC_CL_UNIT","HcmLocationsLegislativeCategory","Canada Workers Compensation Location Information","Captures the Workers Compensation Unit Override Information at Location Level."
"Workers Compensation Classification Unit Override","oraHrxCaWcLocClUnit_Display(PER_LOCATION_LEG_EFF=ORA_HRX_CA_WC_LOC)","Yes","ORA_HRX_CA_WC_LOC_CL_UNIT","HcmLocationsLegislativeCategory","Canada Workers Compensation Location Information","Captures the Workers Compensation Unit Override Information at Location Level."
"Within City Limits","localWagesTaxation(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","ORA_HRX_US_LWAGES_TAXATION","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"Within City Limits","localWagesTaxation_Display(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","ORA_HRX_US_LWAGES_TAXATION","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"Unit Number","_MWS_UNIT_NUMBER(PER_LOCATION_LEG_EFF=HRX_US_MWS_INFORMATION)","No","ORA_HRX_US_CHAR_21","HcmLocationsLegislativeCategory","United States Multiple Worksite Reporting Information","Captures the number assigned to the worksite."
"Unit Number","unitNumber(PER_LOCATION_LEG_EFF=HRX_US_REPORTING_INFORMATION)","No","HRC_CHAR_7","HcmLocationsLegislativeCategory","United States Reporting Information","Captures the EEOC unit number assigned to the establishment."
"Unit Name","reportingName(PER_LOCATION_LEG_EFF=HRX_US_REPORTING_INFORMATION)","No","HRC_CHAR_35","HcmLocationsLegislativeCategory","United States Reporting Information","Captures the name of the company for which the EEO-1 report is being filed."
"Unique Entity ID","uniqueEntityId(PER_LOCATION_LEG_EFF=HRX_US_REPORTING_INFORMATION)","No","ORA_HRX_US_CHAR_12","HcmLocationsLegislativeCategory","United States Reporting Information",""
"Trade Name","_MWS_REPORTING_NAME(PER_LOCATION_LEG_EFF=HRX_US_MWS_INFORMATION)","No","HRC_CHAR_35","HcmLocationsLegislativeCategory","United States Multiple Worksite Reporting Information","Captures the legal name of the company."
"Tax Reporting Unit","taxReportingUnit(PER_LOCATION_LEG_EFF=HRX_US_REPORTING_INFORMATION)","Yes","ORA_HRX_US_ORG_TRU","HcmLocationsLegislativeCategory","United States Reporting Information","Captures Tax Reporting Unit."
"Tax Reporting Unit","taxReportingUnit_Display(PER_LOCATION_LEG_EFF=HRX_US_REPORTING_INFORMATION)","Yes","ORA_HRX_US_ORG_TRU","HcmLocationsLegislativeCategory","United States Reporting Information","Captures Tax Reporting Unit."
"Tax District","taxDistrict(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","ORA_HRX_US_TAX_DISTRICT","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"Tax District","taxDistrict_Display(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","ORA_HRX_US_TAX_DISTRICT","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"Tax Address ID","taxAddressId(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","HRC_CHAR_40","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"Tax Address","taxAddress(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","HRC_CHAR_150","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"State","state(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","ORA_HRX_US_STATE","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"State","state_Display(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","ORA_HRX_US_STATE","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"Special Tax District","specialTaxDistrict(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","ORA_HRX_US_SPECIAL_TAX_DISTRICT","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"Special Tax District","specialTaxDistrict_Display(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","ORA_HRX_US_SPECIAL_TAX_DISTRICT","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"School District","schoolDistrict(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","ORA_HRX_US_SCHOOL_DISTRICT","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"School District","schoolDistrict_Display(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","ORA_HRX_US_SCHOOL_DISTRICT","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"Reporting Name","_VETS_REPORTING_NAME(PER_LOCATION_LEG_EFF=HRX_US_VETS_INFORMATION)","No","HRC_CHAR_40","HcmLocationsLegislativeCategory","United States Veteran Reporting Information","Name of the company for VETS-100 and VETS-100A reporting."
"Reporting Code","_REPORTING_CODE(PER_LOCATION_LEG_EFF=HRX_FR_EXT_REPORTING_INFO)","No","HRC_CHAR_50","HcmLocationsLegislativeCategory","France Reporting Information","This segment captures Reporting Code"
"Provincial Medical Payroll Statutory Unit","oraHrxCaPmLocPsu(PER_LOCATION_LEG_EFF=ORA_HRX_CA_PM_LOC)","Yes","ORA_HRX_CA_PM_LOC_PSU","HcmLocationsLegislativeCategory","Canada Provincial Medical Location Information","Captures the PSU for Provincial Medical Account override at Location Level."
"Provincial Medical Payroll Statutory Unit","oraHrxCaPmLocPsu_Display(PER_LOCATION_LEG_EFF=ORA_HRX_CA_PM_LOC)","Yes","ORA_HRX_CA_PM_LOC_PSU","HcmLocationsLegislativeCategory","Canada Provincial Medical Location Information","Captures the PSU for Provincial Medical Account override at Location Level."
"Provincial Medical Account Override","oraHrxCaPmLocAccount(PER_LOCATION_LEG_EFF=ORA_HRX_CA_PM_LOC)","Yes","ORA_HRX_CA_PM_LOC_ACCOUNT","HcmLocationsLegislativeCategory","Canada Provincial Medical Location Information","Captures the Provincial Medical Account override at Location Level."
"Provincial Medical Account Override","oraHrxCaPmLocAccount_Display(PER_LOCATION_LEG_EFF=ORA_HRX_CA_PM_LOC)","Yes","ORA_HRX_CA_PM_LOC_ACCOUNT","HcmLocationsLegislativeCategory","Canada Provincial Medical Location Information","Captures the Provincial Medical Account override at Location Level."
"PSD Code for Pennsylvania Work Location","_PA_WORK_PSD_CODE(PER_LOCATION_LEG_EFF=HRX_US_PA_PSD_INFORMATION)","No","ORA_HRX_US_PA_PSD","HcmLocationsLegislativeCategory","Pennsylvania Work Location PSD Information",""
"PSD Code for Pennsylvania Work Location","_PA_WORK_PSD_CODE_Display(PER_LOCATION_LEG_EFF=HRX_US_PA_PSD_INFORMATION)","No","ORA_HRX_US_PA_PSD","HcmLocationsLegislativeCategory","Pennsylvania Work Location PSD Information",""
"PA PSD Code","paPsdCode(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","ORA_HRX_US_TJ_PA_PSD","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"PA PSD Code","paPsdCode_Display(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","ORA_HRX_US_TJ_PA_PSD","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"Organization SIRET","_ORG_SIRET(PER_LOCATION_LEG_EFF=HRX_FR_EXT_REPORTING_INFO)","No","HRC_CHAR_50","HcmLocationsLegislativeCategory","France Reporting Information","This segment captures France Organization SIRET Information"
"Nonresident EIT Rate for Pennsylvania Work Location","_PA_NONRESIDENT_EIT_RATE(PER_LOCATION_LEG_EFF=HRX_US_PA_PSD_INFORMATION)","No","HRC_CHAR_10","HcmLocationsLegislativeCategory","Pennsylvania Work Location PSD Information",""
"NAICS Number","_NAICS_NUMBER(PER_LOCATION_LEG_EFF=HRX_US_REPORTING_INFORMATION)","No","HRC_CHAR_6","HcmLocationsLegislativeCategory","United States Reporting Information","Captures the NAICS code applicable to the hiring location for which the report is being filed."
"Minimum Number of Employees","_MIN_NUM_EMP(PER_LOCATION_LEG_EFF=HRX_US_VETS_INFORMATION)","No","ORA_HRX_US_INTEGER_8","HcmLocationsLegislativeCategory","United States Veteran Reporting Information","Captures minimum number of employees."
"Maximum Number of Employees","_MAX_NUM_EMP(PER_LOCATION_LEG_EFF=HRX_US_VETS_INFORMATION)","No","ORA_HRX_US_INTEGER_8","HcmLocationsLegislativeCategory","United States Veteran Reporting Information","Captures maximum number of employees."
"Main Activities, Line 2","mainActivitiesLine2(PER_LOCATION_LEG_EFF=HRX_US_REPORTING_INFORMATION)","No","HRC_CHAR_150","HcmLocationsLegislativeCategory","United States Reporting Information","Captures the major activity of the establishment."
"Main Activities, Line 1","mainActivitiesLine1(PER_LOCATION_LEG_EFF=HRX_US_REPORTING_INFORMATION)","No","HRC_CHAR_150","HcmLocationsLegislativeCategory","United States Reporting Information","Captures the major activity of the establishment."
"Location Unique Key","locationUniqueKey(PER_LOCATION_LEG_EFF=HRX_US_REPORTING_INFORMATION)","No","HRC_NUMBER_20","HcmLocationsLegislativeCategory","United States Reporting Information",""
"Location Type","_LOCATION_TYPE(PER_LOCATION_LEG_EFF=HRX_FR_EXT_REPORTING_INFO)","No","HRX_FR_LOCATION_TYPE","HcmLocationsLegislativeCategory","France Reporting Information","This segment captures France Location Type Information"
"Location Type","_LOCATION_TYPE_Display(PER_LOCATION_LEG_EFF=HRX_FR_EXT_REPORTING_INFO)","No","HRX_FR_LOCATION_TYPE","HcmLocationsLegislativeCategory","France Reporting Information","This segment captures France Location Type Information"
"Issuer Number","_ISSUER_NUMBER(PER_LOCATION_LEG_EFF=HRX_FR_EXT_REPORTING_INFO)","No","HRC_CHAR_50","HcmLocationsLegislativeCategory","France Reporting Information","This segment captures the Issuer Number"
"Included Last Year in EEO1 Report","reportedLastYear(PER_LOCATION_LEG_EFF=HRX_US_REPORTING_INFORMATION)","No","HRC_YES_NO","HcmLocationsLegislativeCategory","United States Reporting Information","Captures reported last year."
"Included Last Year in CA Pay Data Report","includedLastYearInCaPayDataRep(PER_LOCATION_LEG_EFF=HRX_US_REPORTING_INFORMATION)","No","HRC_YES_NO","HcmLocationsLegislativeCategory","United States Reporting Information","Captures Included Last Year in CA Pay Data Report."
"Include for Reporting","_MWS_REPORTING_INCLUDE(PER_LOCATION_LEG_EFF=HRX_US_MWS_INFORMATION)","No","HRC_YES_NO","HcmLocationsLegislativeCategory","United States Multiple Worksite Reporting Information","Captures if this location should be included."
"Identifies the WC Location context uniquely","oraHrxCaWcLocUniqueSeg(PER_LOCATION_LEG_EFF=ORA_HRX_CA_WC_LOC)","Yes","HRC_NUMBER_20","HcmLocationsLegislativeCategory","Canada Workers Compensation Location Information","Identifies the WC Location context uniquely"
"Identifies the Location context uniquely","oraHrxCaPmLocUniqueSeg(PER_LOCATION_LEG_EFF=ORA_HRX_CA_PM_LOC)","Yes","HRC_NUMBER_20","HcmLocationsLegislativeCategory","Canada Provincial Medical Location Information","Identifies the Location context uniquely"
"Hiring Location Number","_HIRING_LOC_NUM(PER_LOCATION_LEG_EFF=HRX_US_VETS_INFORMATION)","No","HRC_CHAR_20","HcmLocationsLegislativeCategory","United States Veteran Reporting Information","Captures hiring location number."
"Headquarters Establishment","headquartersEstablishment(PER_LOCATION_LEG_EFF=HRX_US_EEO1_INFORMATION)","No","HRC_YES_NO","HcmLocationsLegislativeCategory","United States EEO-1 Reporting Information","Identifies the establishment as the headquarters for the organization."
"Headquarters Establishment","headquartersEstablishment_Display(PER_LOCATION_LEG_EFF=HRX_US_EEO1_INFORMATION)","No","HRC_YES_NO","HcmLocationsLegislativeCategory","United States EEO-1 Reporting Information","Identifies the establishment as the headquarters for the organization."
"HR Reporting Proxy","_HR_REPORTING_PROXY(PER_LOCATION_LEG_EFF=HRX_US_LOC_EEO_VETS_INF)","No","HRX_US_REP_LOCATION","HcmLocationsLegislativeCategory","United States EEO and Veteran Reporting Information","Captures HR reporting proxy."
"HR Reporting Proxy","_HR_REPORTING_PROXY_Display(PER_LOCATION_LEG_EFF=HRX_US_LOC_EEO_VETS_INF)","No","HRX_US_REP_LOCATION","HcmLocationsLegislativeCategory","United States EEO and Veteran Reporting Information","Captures HR reporting proxy."
"HR Reporting Location","_HR_REPORTING_LOCATION(PER_LOCATION_LEG_EFF=HRX_US_LOC_EEO_VETS_INF)","No","HRC_YES_NO","HcmLocationsLegislativeCategory","United States EEO and Veteran Reporting Information","Captures HR reporting location."
