Name,METADATA Attribute,Required,Value Set Code,Category,Context,Description
"ukprn","ukprn(PER_ORGANIZATION_INFORMATION_EFF=UKHESA)","No","UK_HESA_Char10","Department","UK HESA Information",""
"recid","recid(PER_ORGANIZATION_INFORMATION_EFF=UKHESA)","No","UK_HESA_recid","Department","UK HESA Information",""
"recid","recid_Display(PER_ORGANIZATION_INFORMATION_EFF=UKHESA)","No","UK_HESA_recid","Department","UK HESA Information",""
"Zero Report","_ZERO_REPORT(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_AK)","Yes","HRC_YES_NO","Payroll Statutory Unit For United States","Alaska State Quarterly Wage Listing Rules","Captures the zero report for Alaska."
"Zero Report","_ZERO_REPORT(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_AK)","Yes","HRC_YES_NO","Tax Reporting Unit For United States","Alaska State Quarterly Wage Listing Rules Overrides","Captures the zero report for Alaska."
"Zero Report","_ZERO_REPORT_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_AK)","Yes","HRC_YES_NO","Payroll Statutory Unit For United States","Alaska State Quarterly Wage Listing Rules","Captures the zero report for Alaska."
"Zero Report","_ZERO_REPORT_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_AK)","Yes","HRC_YES_NO","Tax Reporting Unit For United States","Alaska State Quarterly Wage Listing Rules Overrides","Captures the zero report for Alaska."
"Year-End Documents Publish Month","OraHrxCaEoyPublishMonth(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_TRU_EOY_REPORT_RULES)","No","ORA_HRX_CA_EOY_DOC_PUBLISH_MONTH","Payroll Statutory Unit For Canada","Year-End Reporting Rules",""
"Year-End Documents Publish Month","OraHrxCaEoyPublishMonth(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_TRU_EOY_REPORT_RULES)","No","ORA_HRX_CA_EOY_DOC_PUBLISH_MONTH","Tax Reporting Unit For Canada","Year-End Reporting Rules",""
"Year-End Documents Publish Month","OraHrxCaEoyPublishMonth_Display(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_TRU_EOY_REPORT_RULES)","No","ORA_HRX_CA_EOY_DOC_PUBLISH_MONTH","Payroll Statutory Unit For Canada","Year-End Reporting Rules",""
"Year-End Documents Publish Month","OraHrxCaEoyPublishMonth_Display(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_TRU_EOY_REPORT_RULES)","No","ORA_HRX_CA_EOY_DOC_PUBLISH_MONTH","Tax Reporting Unit For Canada","Year-End Reporting Rules",""
"Year-End Documents Publish Day","OraHrxCaEoyPublishDay(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_CA_TRU_EOY_REPORT_RULES)","No","ORA_HRX_CA_EOY_DOC_PUBLISH_DAY","Payroll Statutory Unit For Canada","Year-End Reporting Rules",""
